key|nickname|description|total_songs|total_playlists|total_friends|song_name|artist|album
10020|상빠니|소개글이 없습니다.|60|7|0|True|Martin Taylor|Solo
10022|라이온|소개글이 없습니다.|282|14|3|사랑보다 깊은 상처|임재범|비상
10022|라이온|소개글이 없습니다.|282|14|3|하늘을 달리다 (원곡가수 이적)|소향|`나는 가수다 2` 8월 A조 경연
10022|라이온|소개글이 없습니다.|282|14|3|김제동송 - 오쿄쿄쿄|윤도현|김제동송 - 오쿄쿄쿄
10022|라이온|소개글이 없습니다.|282|14|3|첫인상|박정현|[서바이벌 나는 가수다] 경연2. `서로의 노래 바꿔 부르기`
10022|라이온|소개글이 없습니다.|282|14|3|니가 싫어|어반자카파|니가 싫어
10022|라이온|소개글이 없습니다.|282|14|3|Fly Away|라디|Fly Away
10022|라이온|소개글이 없습니다.|282|14|3|사랑이 지나가면|이문세|이문세 골든 15
10022|라이온|소개글이 없습니다.|282|14|3|Dream|이루마|강아지 똥 OST
10022|라이온|소개글이 없습니다.|282|14|3|Love Is... (Pop Ver.) (Duet With 안정아)|김현철|Kid`s Pop `Love Is...`
10022|라이온|소개글이 없습니다.|282|14|3|I`m Yours|Jason Mraz|The Studio Album Collection, Volume One
10022|라이온|소개글이 없습니다.|282|14|3|안아줘|정준일|Lo9ve3r4s
10022|라이온|소개글이 없습니다.|282|14|3|York Town Girl|Eddie Higgins Trio|Portraits Of Love
10022|라이온|소개글이 없습니다.|282|14|3|The Boy From Wonderland (더페이스샵 권상우, 윤진서편)|두번째 달|두번째 달 1집
10022|라이온|소개글이 없습니다.|282|14|3|Let`s Touch The Sky|Fourplay|Let`s Touch The Sky
10022|라이온|소개글이 없습니다.|282|14|3|五月の村 / Gogatsuno Mura (오월의 마을)|Hisaishi Joe|이웃집 토토로 OST
10022|라이온|소개글이 없습니다.|282|14|3|Let It Go|Idina Menzel|겨울왕국 OST (33 Trks Ver.)
10022|라이온|소개글이 없습니다.|282|14|3|You`ve Got a Friend In Me (Remastered 2015)|Randy Newman|토이스토리 OST (Walt Disney Records The Legacy Collection: Toy Story)
10022|라이온|소개글이 없습니다.|282|14|3|Flying With Mother|John Powell|영화 `드래곤 길들이기2 (How To Train Your Dragon 2)` OST
10022|라이온|소개글이 없습니다.|282|14|3|Turnaround (Feat. Camille)|Hans Zimmer|어린왕자 2015 OST
10022|라이온|소개글이 없습니다.|282|14|3|What A Wonderful World|Louis Armstrong|Louis Armstrong
10022|라이온|소개글이 없습니다.|282|14|3|New York, New York|Frank Sinatra|Best Of Duets (20th Anniversary)
10022|라이온|소개글이 없습니다.|282|14|3|When You`re Smiling|Louis Armstrong|When You`re Smiling
10022|라이온|소개글이 없습니다.|282|14|3|Let It Go|Idina Menzel|Frozen
10022|라이온|소개글이 없습니다.|282|14|3|`라 트라비아타` - 축배의 노래 (이태리 - Chianti)|Monte-Carlo Philharmonic Orchestra|Wine & Music (와인과 음악의 조우)
10022|라이온|소개글이 없습니다.|282|14|3|Night Child|Oscar Peterson|The Composer
10022|라이온|소개글이 없습니다.|282|14|3|Un Homme Et Une Femme - 남과 여|박주원|집시시네마
10022|라이온|소개글이 없습니다.|282|14|3|So Far Away|Kurt Elling|1619 Broadway - The Brill Building Project
10022|라이온|소개글이 없습니다.|282|14|3|사랑비|김태우|T-Virus
10022|라이온|소개글이 없습니다.|282|14|3|러브송|7공주|겨울...봄, 여름, 가을
